,店名,ジャンル,住所,電話番号,予算目安(下代),予算目安(上代),定休日,営業時間,店のリンク,最寄駅
974,"

魚海船団 小川町店（とかいせんだん）
            
","
居酒屋、海鮮、日本酒バー
","
東京都千代田区神田小川町1-8-3 小川町北ビル B1F






","

050-5570-3596

","￥3,000","￥3,999","
日曜日、祝日
","

【月曜日～金曜日】15:00～23:30【土曜日】15:00～22:30
",https://tabelog.com/tokyo/A1310/A131002/13261482/,小川町駅
975,"

稲香屋（【旧店名】薩摩地鶏＆博多もつ鍋 うまかー）
            
","
居酒屋、鳥料理、もつ鍋
","
東京都千代田区鍛冶町2-7-3 国際ビル　２Ｆ






","

050-5872-4008

","￥4,000","￥4,999","
不定休（詳細はお問い合わせください。）
","

【月～金】17:00~23:00（L.O 22:00）[土・日・祝]17:00~23:00（L.O 22:00）土日祝に関しては不定休ですのでお問い合わせください。
",https://tabelog.com/tokyo/A1310/A131002/13051200/,神田駅
976,"

天ぷら酒場上ル商店 ぷらりと京王府中店

","
居酒屋、天ぷら、海鮮
","
東京都府中市府中町1-3-6 ぷらりと京王府中東 1F






","

050-5570-4722

","￥4,000","￥4,999","
なし（施設休館日を除く）
","

[月～金]ランチ　　11:00-15:00(Lo.14:30)ディナー　17:00-23:00(Lo.22:30)[土・日]11:00-23:00(Lo.22:30)
日曜営業
",https://tabelog.com/tokyo/A1326/A132602/13261486/,府中駅
977,"

大阪焼肉・ホルモン ふたご 中野店

","
焼肉、ホルモン、居酒屋
","
東京都中野区中野5-65-6 山和ビル3 2F






","

050-5592-7699

","￥4,000","￥4,999","
＜年中無休＞※1/1～1/3は除く
","

＜平日＞17:00～24:00(L.O.23:30)＜土曜＞15:00～24:00(L.O.23:30)＜日・祝＞15:00～23:30(L.O.23:00)
日曜営業
",https://tabelog.com/tokyo/A1319/A131902/13163648/,中野駅
978,"

個室 イタリアン肉バル 紫音 恵比寿店（Sion）
            
","
居酒屋、肉バル、イタリアン
","
東京都渋谷区恵比寿西1-13-3 ROOB６ B2F






","

050-5869-8551

","￥4,000","￥4,999","
大晦日、元旦
","

【月～金】17：00～翌04：30【土・日・祝】17：00～翌04：30※結婚式2次会・会社貸切パーティーなど様々なシーンでのパーティーにご対応！時間帯も昼・深夜などお客様の要望にお応えさせて致します。カラオケ席ご用意あり。※別途料金かかります。※仕入れ状況により内容変更の場合がございます。ご了承ください。
日曜営業
",https://tabelog.com/tokyo/A1303/A130302/13158444/,恵比寿駅
979,"

山梨郷土料理×日本酒・地酒 よってけし

","
居酒屋、馬肉料理、焼き鳥
","
東京都立川市柴崎町3-8-16 






","

050-5590-3636

","￥5,000","￥5,999","
不定休
","

16：00～24:00
",https://tabelog.com/tokyo/A1329/A132901/13156691/,立川南駅
980,"

おでん屋 でんでん

","
おでん、居酒屋、日本酒バー
","
東京都杉並区天沼3-1-9 エフテビル 2F






","

050-5600-0918

","￥3,000","￥3,999","
不定休
","

【月〜金】ランチ11:30〜15:00【金〜水】ディナー（木曜日はお休みしてます）17:00～翌1:00
日曜営業
",https://tabelog.com/tokyo/A1319/A131906/13278034/,荻窪駅
981,"

純酒肴 吟（【旧店名】旬膳 さとり）
            
","
居酒屋、日本酒バー、海鮮
","
東京都文京区湯島3-41-10 コスモビル ２Ｆ






","

050-5596-5887

","￥6,000","￥7,999","
日・祝・お盆・年末年始・不定休あり。
","

【月～土】17:00～22：00
",https://tabelog.com/tokyo/A1311/A131101/13033235/,上野広小路駅
982,"

ALVITA（アルビータ）
            
","
イタリアン、ワインバー、ビストロ
","
東京都中央区日本橋堀留町1-7-1 １Ｆ






","

050-5592-3907

","￥5,000","￥5,999","
日曜・祝日・第1、3月曜ランチ
","

［ディナー］月曜ー土曜　18:00 ~ 23:00 (L.O２２：３０)［ランチ］月曜ー金曜　11:30 ~ 14:00 (L.O13:45)※第1、第3月曜日は休み
",https://tabelog.com/tokyo/A1302/A130204/13198246/,人形町駅
983,"

江戸酒場 半助

","
居酒屋、うなぎ、すき焼き
","
東京都千代田区有楽町1-10-1 有楽町ビル B1F






","

050-5597-0634

","￥3,000","￥3,999","
土日
","

ランチ(月〜金)11:30〜14:30(LO14:00)　　　(祝)            12:00〜14:30(LO14:00)ディナー(月〜金)17:30～22:00(料理LO2100、飲物LO21:30）　　　　(祝)          17:30〜21:00(料理LO20:00、飲物LO20:30)     　　（ビル閉館時間 21:30）
",https://tabelog.com/tokyo/A1301/A130102/13231898/,日比谷駅
984,"

THE KINTAN STEAK（ザキンタンステーキ）
            
","
ステーキ、鉄板焼き、焼肉
","
東京都渋谷区恵比寿4-20-3 恵比寿ガーデンプレイスタワー 38F






","

050-5594-9442

","￥8,000","￥9,999","
年末年始
","

【平日ランチ】11:30 - 15:00（LO14:30）【土日祝ランチ】11:00 - 15:00（LO14:30）【平日ディナー】17:30 - 23:00（LO22:15）【土日祝ディナー】17:00 - 23:00（LO22:15）※ご予約状況に応じて、閉店時間が早まる場合がございます。
日曜営業
",https://tabelog.com/tokyo/A1303/A130302/13216338/,恵比寿駅
985,"

どん亭 中野店

","
しゃぶしゃぶ、すき焼き、日本料理
","
東京都中野区中野5-59-8 湯澤ビル 2F






","

050-5589-9441

","￥2,000","￥2,999","
年中無休
","

◆11：00-24：00（ﾗｽﾄｵｰﾀﾞｰ　23：30）
日曜営業
",https://tabelog.com/tokyo/A1319/A131902/13124412/,中野駅
986,"

味彩酒房  仁  麹町

","
海鮮、居酒屋、日本酒バー
","
東京都千代田区麹町4-3-1 






","

050-5600-1001

","￥4,000","￥4,999","
土曜日・日曜日　※10名様以上でお店開けます。お尋ね下さい。
","

東京都の要請に伴いまして、を変更しております。ランチ／11:30～14:00ディナー／17:00~23:00
",https://tabelog.com/tokyo/A1308/A130803/13204249/,麹町駅
987,"

六本木鮨ちかなり

","
寿司、海鮮、バー
","
東京都港区六本木5-5-1 六本木ミニヨンビル 4F






","

050-5600-0518

","￥20,000","￥29,999","
日、祝日
","

［月曜日～土曜日］1部18:00~20:00　　　　　　　　　　2部20:30～22:30
",https://tabelog.com/tokyo/A1307/A130701/13279831/,六本木駅
988,"

鳥升 北千住店

","
居酒屋
","
東京都足立区千住1-33-8 






","

050-5600-1941

","￥3,000","￥3,999","
不定休
","

11:00～24:00 （料理L.O. 23:00 ドリンクL.O. 23:00）11:00～16:00は予約のみ承ります。
日曜営業
",https://tabelog.com/tokyo/A1324/A132402/13281671/,北千住駅
989,"

諸葛カオユ 池袋店（諸葛烤魚）
            
","
四川料理、火鍋、居酒屋
","
東京都豊島区西池袋1-36-4 コンソートビル 5F






","

03-6915-2163

","￥3,000","￥3,999","
無休
","

11:00～24:00 (L.O23:30)
日曜営業
",https://tabelog.com/tokyo/A1305/A130501/13270168/,池袋駅
990,"

ねぎま 三ぞう 池袋西口店

","
居酒屋、焼き鳥、海鮮
","
東京都豊島区西池袋1-42-1 B1F






","

050-5596-5543

","￥3,000","￥3,999","
無
","

16:00～24:00（L.O.23:30）
日曜営業
",https://tabelog.com/tokyo/A1305/A130501/13227193/,池袋駅
991,"

トスカーナ 神谷町店（Italian//BarR TOSCANA）
            
","
イタリアン、パスタ、居酒屋
","
東京都港区虎ノ門4-3-1 城山トラストタワー　２F






","

050-5868-8628

","￥3,000","￥3,999","
日・祝日(貸切営業大歓迎！原則予算10万円～　お気軽にご相談下さい）
","

月曜日～金曜日Lunch 　11：15～15：00　（LO14:30 ）Dinner　17：00～23：00　（LO:22:30 ）【土・日・祝】定休（貸切承ります）
",https://tabelog.com/tokyo/A1307/A130704/13112199/,神谷町駅
992,"

焼鶏あきら 丸の内店

","
焼き鳥、鳥料理、居酒屋
","
東京都千代田区丸の内2-6-1 丸の内ブリックスクエア B1F






","

050-5868-1545

","￥5,000","￥5,999","
なし
","

[ランチ]月～日　11:00～14:30（L.O.14:00）[ディナー]※が変動する場合がございます。詳しくはご予約時にお問い合わせください。月～金　17:00～23:00土、日、祝日 17:00～22:00
日曜営業
",https://tabelog.com/tokyo/A1302/A130201/13096433/,二重橋前駅
993,"

赤坂鉄板焼 ヒレ

","
鉄板焼き、フレンチ、ステーキ
","
東京都港区赤坂3-12-5 ホテルヒラリーズ 1F






","

050-5589-5649

","￥10,000","￥14,999","
日曜日(年末年始","

17:00～24:00
",https://tabelog.com/tokyo/A1308/A130801/13267149/,赤坂駅
994,"

個室 串天 鮮魚 二十四区 末広町店

","
居酒屋、海鮮、天ぷら
","
東京都千代田区外神田2-14-5 B1F






","

050-5456-8384

","￥3,000","￥3,999","
無
","

月～金平日ランチ：11時半～14時ディナー：17時～23時半
",https://tabelog.com/tokyo/A1311/A131101/13245091/,末広町駅
995,"

やきとん酒場 ヤマネ肉店 菊川店

","
居酒屋、もつ焼き
","
東京都墨田区菊川2-6-16 エルム菊川 1F






","

050-5590-1762

","￥2,000","￥2,999","
無休
","

平日17:00〜23:00(LO22:30)土日祝日16:00〜23:00(LO22:30)
日曜営業
",https://tabelog.com/tokyo/A1312/A131201/13266231/,菊川駅
996,"

イレールビス自由が丘

","
ビストロ、ワインバー、ダイニングバー
","
東京都世田谷区奥沢5-24-2 自由が丘B.L AOKI 1F






","

050-5456-9854

","￥5,000","￥5,999","
月曜日/火曜日 （不定休あり）
","

[平日]17:00〜22:30         （料理L.O）２０：３０ワインOK![土・日・祝]ランチ11:30〜15:０0(CLOSE)ディナー17:00〜2２:30 (2０:30料理L.O)ワインOK!
日曜営業
",https://tabelog.com/tokyo/A1317/A131703/13245087/,自由が丘駅
997,"

馬刺しと博多天神もつ鍋 本格九州料理 個室居酒屋 京桜 八重洲店

","
居酒屋、ダイニングバー
","
東京都中央区日本橋2-2-15 テイトビル 5F






","

050-5590-0918

","￥4,000","￥4,999","
年中無休
","

月～日、祝日、祝前日: 11:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）11：00～16：00はご予約のみ承っております。
日曜営業
",https://tabelog.com/tokyo/A1302/A130202/13276943/,日本橋駅
998,"

魚魚権 目黒

","
海鮮、居酒屋、日本料理
","
東京都目黒区下目黒1-2-21 泰山堂ビルB1






","

050-5456-1574

","￥3,000","￥3,999","
無休
","

月～土 17:30〜23:30 （L.O.23:00） 日祝日17:00〜23:30（L.O.23:00)
",https://tabelog.com/tokyo/A1316/A131601/13129729/,目黒駅
999,"

玉の蔵 二子玉川店（タマノクラ）
            
","
居酒屋、おでん、弁当
","
東京都世田谷区玉川3-13-8 1F






","

050-5456-0320

","￥4,000","￥4,999","
無休
","

[平日]◇17:00-23:30 (LO.22:30)[土日祝]◇11:30-23:30 (LO.22:30)※、アルコールの提供などは各自治体の要請に基づきます。詳しくは店舗までお問い合わせください。
日曜営業
",https://tabelog.com/tokyo/A1317/A131708/13198631/,二子玉川駅
1000,"

沖縄料理 ハレクニ

","
居酒屋
","
東京都港区新橋2-2-3 ル・グラシエルBLDG.28






","

050-5890-8111

","￥3,000","￥3,999","
無休
","

【全日】17:00～24:00
日曜営業
",https://tabelog.com/tokyo/A1301/A130103/13260778/,内幸町駅
1001,"

やきとり・やきとん 鶏と豚（やきとり・やきとん tototone）
            
","
居酒屋、ダイニングバー、焼き鳥
","
東京都練馬区石神井町3-25-21 ライオンズプラザ石神井公園 B106






","

050-5457-5228

","￥3,000","￥3,999","
不定休
","

[ディナー]　17：00～24：00（L.O.23：00＜フード、ドリンク＞）
日曜営業
",https://tabelog.com/tokyo/A1321/A132103/13200711/,石神井公園駅
1002,"

牛タン専門店 タン治郎

","
居酒屋、牛タン、しゃぶしゃぶ
","
東京都台東区上野6-13-5 3F






","

050-5868-8989

","￥3,000","￥3,999","
","

平日 17:00~24:00まで営業中金、土、祝前日 11:00~29:00まで営業中
",https://tabelog.com/tokyo/A1311/A131101/13252480/,京成上野駅
1003,"

ブルズガーデン（bull's Garden ）
            
","
カフェ、イタリアン、レストラン
","
東京都世田谷区用賀4-5-15 






","

050-5872-7611

","￥5,000","￥5,999","
月曜日（月曜日が祝日の場合は、営業となります。）
","

ランチ&ブランチ11:30〜15:00(L.o14:00)ディナー17:00〜22:00(L.o21:00)※15:00~17:00の間はディナー準備の為、CLOSE致します。（2022年4月５日より平日・土日祝日すべて上記の通りのとなります）
日曜営業
",https://tabelog.com/tokyo/A1317/A131707/13095961/,用賀駅
1004,"

135酒場 池袋立教通り店（イサゴサカバ）
            
","
居酒屋、中華料理、餃子
","
東京都豊島区西池袋5-1-5 第二春谷ビル 1F






","

050-5590-1497

","￥2,000","￥2,999","
年中無休
","

24時間営業
日曜営業
",https://tabelog.com/tokyo/A1305/A130501/13160016/,池袋駅
1005,"

Tsunami Ebisu TOKYO（ツナミ エビス トウキョウ）
            
","
カフェ、居酒屋、ハワイ料理
","
東京都渋谷区恵比寿1-22-3 シルバープラザ恵比寿 1Ｆ






","

050-5872-8034

","￥2,000","￥2,999","
年末年始
","

ランチ：11:00-16:00ディナー：16:00‐23：00（L.O.22：30）
日曜営業
",https://tabelog.com/tokyo/A1303/A130302/13004484/,恵比寿駅
1006,"

ビストロ ガフ（Bistro Guf）
            
","
バル、居酒屋、ビストロ
","
東京都墨田区江東橋4-15-1 第6小崎ビル 1F






","

050-5872-7448

","￥3,000","￥3,999","
なし
","

【月〜金】16:00～24:00[Lo: 23:30]【土・日・祝日】12:00〜23:00[Lo: 22:30]○16：00〜19：00　狙い目の時間帯です。△19：00〜23：00　早目のご予約をおすすめします!!
日曜営業
",https://tabelog.com/tokyo/A1312/A131201/13161361/,錦糸町駅
1007,"

ジェット ベイカー（JET BAKER）
            
","
ダイニングバー、ビアバー、パン
","
東京都中央区新川2-1-3 COSMY新川 1F






","

050-5596-6002

","￥3,000","￥3,999","
日曜・祝日・月曜
","

自家製パンの販売は水曜、木曜、金曜のみとさせていただきます。ランチ　(お席のご予約は出来ません)11:30～13:30（LO）14:00（CLOSE）(テイクアウトは12:00〜13:30) ※土曜日は12:00〜14:00（LO）14:30（CLOSE）ディナー　18:00〜23:00(22:00 LO)※土曜日は17:30〜22:30(21:30 LO)
",https://tabelog.com/tokyo/A1302/A130203/13223790/,茅場町駅
1008,"

RIGOLETTO SHORT HILLS（リゴレット ショート　ヒルズ）
            
","
イタリアン、スペイン料理、ワインバー
","
東京都目黒区中目黒1-2-13 






","

03-5773-1241

","￥4,000","￥4,999","
不定休
","

【】平日11:30-15:00/17:00-23:00金曜日11:30-15:00/17:00-23:00土曜日11:30-23:00日曜日祝日11:30-23:00
",https://tabelog.com/tokyo/A1317/A131701/13060221/,中目黒駅
1009,"

個室焼肉 雲海

","
焼肉、鉄板焼き、日本料理
","
東京都港区新橋3-2-1 3F・4F






","

050-5589-8252

","￥10,000","￥14,999","無し】ランチ11:00~15:00(L.O14:30)ディナー17:00〜24:00(L.O23:30)
日曜営業
","

【",https://tabelog.com/tokyo/A1301/A130103/13275583/,新橋駅
1010,"

さかな酒場 魚星 中野北口店

","
居酒屋、海鮮、寿司
","
東京都中野区中野5-59-2 エフワンビル 1F






","

050-5589-5216

","￥3,000","￥3,999","
年中無休
","

11:30～23:00
日曜営業
",https://tabelog.com/tokyo/A1319/A131902/13267089/,中野駅
1011,"

雪園 京橋店（セツエン）
            
","
中華料理、創作料理、海鮮
","
東京都中央区京橋3-6-3 






","

050-5571-3529

","￥6,000","￥7,999","
日曜日
","

月曜日～金曜日11:30～15:00（L.O.14:30）17:30～22:00（L.O.21:00）土曜日・祝日12:00～15:30（L.O.15:00）17:30～21:00（L.O.20:00）※コースは各1時間30分前まで
",https://tabelog.com/tokyo/A1302/A130202/13002264/,京橋駅
1012,"

香港亭 赤坂店（ホンコンテイ）
            
","
中華料理、小籠包、居酒屋
","
東京都港区赤坂3-10-4 赤坂月世界ビル　１Ｆ






","

050-5872-9175

","￥3,000","￥3,999","
日曜
","

11:30～24:00（LO23:30）ランチタイム11:30～15:00ディナータイム17:00～24:00
",https://tabelog.com/tokyo/A1308/A130801/13009519/,赤坂見附駅
1013,"

わらやき屋 赤坂

","
居酒屋、海鮮、郷土料理
","
東京都港区赤坂3-12-3 コンチネンタル赤坂V 1F






","

050-5890-1613

","￥4,000","￥4,999","
なし
","

【月～金】16：00～23：00 (L.O.22:00)【土日祝】15：00～23：00(L.O.22:00)
日曜営業
",https://tabelog.com/tokyo/A1308/A130801/13151433/,赤坂駅
1014,"

カンティーナ（Cantina）
            
","
イタリアン、海鮮、バル
","
東京都港区新橋1-16-9 亀田ビル　Ｂ１Ｆ






","

050-5869-3697

","￥5,000","￥5,999","
日曜・祝日
","

ランチ　　月～金 11：30～13：30(L.o)食材がなくなった場合は早めに閉める場合もあります。お席のみのご予約も承っております。ランチはカードのご利用できません。ディナー　月～金17:30～23:00土17:00〜22:00 
",https://tabelog.com/tokyo/A1301/A130103/13031586/,内幸町駅
1015,"

三茶 貝介

","
居酒屋、かき、オイスターバー
","
東京都世田谷区三軒茶屋2-15-14 ABCビル 111






","

050-5600-0480

","￥5,000","￥5,999","
月曜定休※月曜が祝前日の場合は営業します。休日予定はInstagramか店舗にご確認をお願いします。
","

16:00~22:00（L.O.21:30）
",https://tabelog.com/tokyo/A1317/A131706/13278342/,三軒茶屋駅
1016,"

ザ・ホルモンクラブ・トウキョウ

","
ホルモン、焼肉、ステーキ
","
東京都品川区南品川5-11-42 






","

050-5872-8353

","￥5,000","￥5,999",　月曜・祝日（月曜日が祝日の場合は火曜日も,"

平日17:00~23:00土日15:00~23:00(コロナウイルスの情勢により変わる場合があります）",https://tabelog.com/tokyo/A1315/A131501/13256054/,大井町駅
1017,"

きなり

","
焼き鳥
","
東京都新宿区馬場下町62-18 B1F






","

050-5593-3794

","￥6,000","￥7,999","
不定休(平日)ですので、ご来店の際お電話にてご確認下さい。
","

現在は通常営業での営業です。ディナー[月～金]　17:00~22:30(L.O)[土日祝]17:00~22:00(L.O)ランチ月～土　11:30～14:00(L.O)　日曜祝日休み※ランチのご予約は5名様以上にて承っております。※ランチタイムのお会計は現金でお願い致しております。
日曜営業
",https://tabelog.com/tokyo/A1305/A130504/13204540/,早稲田駅（メトロ）
1018,"

焼肉トラジ 新宿店

","
焼肉、韓国料理、ホルモン
","
東京都新宿区歌舞伎町1-2-6 三経55ビル　２Ｆ






","

050-5457-6961

","￥6,000","￥7,999","
無休
","

［月〜木］17：00〜23:30（L.O.22:30)［金］17：00〜28:00（L.O.27:00)［土］16：00〜28:00（L.O.27:00)［日・祝］16：00〜23:00  (L.O.22:00）
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13038788/,新宿三丁目駅
1019,"

寿司　久寿美

","
寿司、海鮮、日本料理
","
東京都中央区銀座8-5-10 金成ビル　２階






","

050-5456-9815

","￥10,000","￥14,999","
日曜日・祝日
","

[月～土]17:00～21:00
",https://tabelog.com/tokyo/A1301/A130103/13113637/,新橋駅
1020,"

炭火焼鳥専門 全席個室居酒屋 吟八 日本橋店

","
居酒屋、焼き鳥、海鮮
","
東京都中央区日本橋室町1-11-2 松楽ビル 3F






","

050-5570-1301

","￥3,000","￥3,999","
無
","

16:00-23:30 (フードL.O.22:30、ドリンクL.O.23:00)
日曜営業
",https://tabelog.com/tokyo/A1302/A130202/13261279/,三越前駅
1021,"

和牛ホルモンWAIGAYA

","
焼肉、ホルモン、韓国料理
","
東京都新宿区新宿3-13-5 クリハシビル B2F






","

050-5868-0668

","￥5,000","￥5,999","
不定休
","

12:00〜15:00(L.o.14:30)17:00〜22:30(L.o.22:00)
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13249006/,新宿三丁目駅
1022,"

焼肉 冷麺 ユッチャン。

","



焼肉 百名店 2021 選出店




食べログ 焼肉 TOKYO 百名店 2021 選出店



","
予約可
中学生未満のお子様がおられる場合のネット予約はお断りさせていただいております。お電話でのご予約をお願い致します。また、個室でのご案内の場合、別途個室料3000円〜頂戴しております。ご了承お願い致します。
","
焼肉、冷麺、韓国料理
",,,,"
日比谷線　六本木駅より徒歩2分
六本木駅から267m
",https://tabelog.com/tokyo/A1307/A130701/13230170/,六本木駅
1023,"

燻製201号室（クンセイニイマルイチゴウシツ）
            
","
ダイニングバー、イタリアン、ワインバー
","
東京都世田谷区三軒茶屋1-32-6 MICHI-COビル 2F






","

050-5571-2676

","￥5,000","￥5,999","
不定休 
","

【通常への変更について】OPEN17：00～23：30酒類の販売・提供しております
日曜営業
",https://tabelog.com/tokyo/A1317/A131706/13176540/,三軒茶屋駅
1024,"

半駄ヶ谷

","
お好み焼き、もんじゃ焼き、居酒屋
","
東京都渋谷区千駄ヶ谷4-10-5 矢口ビル 1F






","

050-5872-5978

","￥4,000","￥4,999","
第二火曜日
","

平日【ランチ】11:30～14:30（L.O.14:00）【ディナー】18:00～24:00（L.O.23:00）土　12:00〜24:00(L.O.23:00)日　12:00〜23:00(L.O.22:00)
日曜営業
",https://tabelog.com/tokyo/A1304/A130403/13266900/,北参道駅
1025,"

克賢（かつけん）
            
","
しゃぶしゃぶ、居酒屋、豚しゃぶ
","
東京都台東区浅草橋5-5-1 弥助第２レヂデンス　１Ｆ






","

050-5590-3139

","￥6,000","￥7,999","
日曜・祝日　(事前のご予約で営業致します。当日は不可です。１０名様より、貸切にて承ります。お電話にてご相談下さい。)
","

(ランチ)■火～金　11:30～13:30(最終入店13:00)※ランチのご滞在は１時間迄。※前日迄のコース予約で月曜土曜も営業致します。(ディナー)■月～土17:30~22:30(最終入店20:00)※コロナ禍、22:00閉店とします。※ご滞在は３時間迄。※ネット予約は4名様迄、5名様以上はお電話にて承ります。※ご予約の１時間以上前にご予約の上お越し下さい。
",https://tabelog.com/tokyo/A1311/A131103/13029929/,浅草橋駅
1026,"

ビストロクワバラ 汐留店

","
ビストロ、ステーキ、カフェ
","
東京都港区東新橋1-2-10 パル汐留 1F






","

050-5600-1893

","￥3,000","￥3,999","
水曜日
","

[月・火・金・土・日]12:00～16:00(最終入店14:30)18:00～21:00(最終入店19:30)[木]18:00～21:00(最終入店19:30)※ネット予約が埋まっている場合でも、空いている場合もございますので、一度お電話にてご連絡ください。※ランチもディナーもシングルコース・セイムプライス。オングレステーキコースのみとなります。
日曜営業
",https://tabelog.com/tokyo/A1301/A130103/13275503/,汐留駅
1027,"

鹿児島県霧島市 塚田農場 品川高輪店

","
居酒屋、鳥料理、肉料理
","
東京都港区高輪3-25-23 京急第2ビル 1Ｆ






","

050-5600-2506

","￥3,000","￥3,999","
","

【平日】17:00～23:00(L.O.22:00)【土日祝】16:00～23:00(LO.22:00)・予告なくの短縮させて頂くことがございます。予めご了承くださいませ。
日曜営業
",https://tabelog.com/tokyo/A1314/A131403/13140583/,品川駅
1028,"

池袋 鉄板焼き Sublime

","
鉄板焼き、日本料理、ステーキ
","
東京都豊島区南池袋1-23-1 フジビル 7F-C






","

050-5872-8527

","￥8,000","￥9,999","
不定休
","

ランチ　　11:30～15:00(L.O 14:00)ディナー　15:00～24:00(L.O 21:30)
日曜営業
",https://tabelog.com/tokyo/A1305/A130501/13257440/,池袋駅
1029,"

てっち屋

","
居酒屋、焼き鳥、海鮮
","
東京都台東区台東4-19-15 






","

050-5589-5843

","￥3,000","￥3,999","
なし
","

ランチ　１１:３０～１４：００ディナー　１７：００～２４：００　（２３：００フード　　２３：３０ドリンク　L.o）
日曜営業
",https://tabelog.com/tokyo/A1311/A131101/13274708/,仲御徒町駅
1030,"

吟味焼肉 じゃんか 道玄坂

","
焼肉、居酒屋、韓国料理
","
東京都渋谷区道玄坂2-9-10 松本ビル 2F






","

050-5868-4416

","￥4,000","￥4,999","
無休
","

☆元気に「年中無休」でお迎えします☆現在、以下の時間にて営業中です。アルコールも終日ご提供しております。換気、消毒などの感染防止策を徹底しておりますので、安心してお越しください。＜全日＞12:00～23:00(L.O22:00)
日曜営業
",https://tabelog.com/tokyo/A1303/A130301/13007287/,渋谷駅
1031,"

ピンク・エレファント（pink elephant）
            
","
タイ料理、居酒屋、カレー
","
東京都中央区新富2-4-13 ホテルアマネク 1F






","

050-5456-8151

","￥3,000","￥3,999","
日曜日
","

[ランチ]11:30～14:00(L.O)[ディナー]17:30～23:00(L.O22:15)
",https://tabelog.com/tokyo/A1313/A131301/13203331/,新富町駅
1032,"

大衆ビストロ Cook Man’s（クックマンズ）
            
","
ビストロ、イタリアン、ダイニングバー
","
東京都大田区西蒲田8-2-1 西蒲田スカイハイツ 108






","

050-5872-7221

","￥3,000","￥3,999","
月曜日、毎月第1火曜日、第3火曜日
","

●平日　17:00‐26:00土曜日　17:00-26:00日曜日、祝日    17:00-24:00
日曜営業
",https://tabelog.com/tokyo/A1315/A131503/13256095/,蒲田駅
1033,"

東京和食 りくう

","
日本料理、海鮮、居酒屋
","
東京都渋谷区恵比寿南2-1-4 ジョワレ恵比寿 2F






","

050-5596-9597

","￥10,000","￥14,999","
年末年始
","

17:00‐25:00
日曜営業
",https://tabelog.com/tokyo/A1303/A130302/13231549/,恵比寿駅
1034,"

恵比寿 ホルモン富士

","
ホルモン、焼肉、居酒屋
","
東京都渋谷区恵比寿西1-1-3 タキカワ恵比寿ビル 1F






","

050-5589-4383

","￥2,000","￥2,999","
","

日曜～木曜17:00～25:00(Lo.24:30)ドリンク金曜～土曜、祝前日前17:00～28:00(Lo.27:30)ドリンク
日曜営業
",https://tabelog.com/tokyo/A1303/A130302/13273820/,恵比寿駅
1035,"

水炊き・焼き鳥 とりいちず 大井町西口店

","
居酒屋、焼き鳥、水炊き
","
東京都品川区大井1-11-3 






","

050-5571-3713

","￥2,000","￥2,999","
無休　☆大井町駅3分☆地域最安値に挑戦居酒屋！！個室完備！70名様までの貸切承ります♪
","

※以下の時間帯で営業致します※【全日】11:45～24:00(フードL.O.23:00 ドリンクL.O.23:30)
日曜営業
",https://tabelog.com/tokyo/A1315/A131501/13177683/,大井町駅
1036,"

鮨 青海 品川店

","
寿司、日本料理、海鮮
","
東京都港区港南2-16-1 品川イーストワンタワー B1F






","

03-6718-4410

","￥10,000","￥14,999","
不定休
","

ランチ12：00～14：00(LO13：30)ディナー月～金 17：00～23：00土日祝 16：00～23：00
日曜営業
",https://tabelog.com/tokyo/A1314/A131403/13263540/,品川駅
1037,"

ウィッフィ（WHIPHY うぃっふぃ）
            
","
バル、居酒屋、ステーキ
","
東京都千代田区丸の内3-1-1 国際ビル B1F






","

050-5872-5858

","￥4,000","￥4,999","
土日祝
","

平日ランチ　11:30〜14:30(14:00 L.O)ディナー17:30〜23:00(22:00 L.O)全席禁煙
",https://tabelog.com/tokyo/A1301/A130102/13043427/,日比谷駅
1038,"

vegewest Cafe & WineBar（ベジウエスト カフェ＆ワインバー）
            
","
カフェ、ワインバー、カレー
","
東京都渋谷区代官山町13-4 セレサ代官山 1F






","

050-5869-8612

","￥3,000","￥3,999","
Cafe:年末年始、不定休　WineBar:不定休
","

cafe:11:00~17:30Bar:17:30~23:30(LO)24:00(CLOSE)※カフェとワインバーでは　メニューが異なりますのでご了承くださいませ。
日曜営業
",https://tabelog.com/tokyo/A1303/A130303/13263265/,代官山駅
1039,"

ビストロ ボルドー 渋谷円山町

","
ビストロ、フレンチ、ワインバー
","
東京都渋谷区円山町12-10 HTマルヤマ 1F






","

050-5571-2488

","￥10,000","￥14,999","
日曜日と月曜日のハッピーマンデー
","

【月曜〜金曜】17時〜23:00 (LO22:30)【土曜日】17:00〜22:00(LO21:30)
",https://tabelog.com/tokyo/A1303/A130301/13264628/,神泉駅
